id,text,label,Comments
5,"Saifuddin was arrested from Dhaka's Mohammadpur area last night, Officer-in-Charge (OC) of Savar Model Police Station Dipak Chandra Saha told The Daily Star.",positive,
7,"A BNP activist, who fled home to avoid arrest following a recent police case, was found dead in a mustard field in Bogura's Sherpur upazila today.",negative,
8,"The deceased, Abdul Matin, 55, was a member of Bishalpur Union BNP under the upazila, said upazila BNP General Secretary Rafiqul Islam.",neutral,
9,Matin was among the 64 accused in the case filed by police over a clash between supporters of BNP and Awami League in Sherpur upazila on November 15 amid a countrywide blockade.,negative,
10,"Around 19 people, including five police officials, were injured in the clash.",negative,
11,The complainant brought allegations of obstructing government work and injuring policemen during the clash.,negative,
12,"Matin's daughter-in-law Shahnaz Khatun said he went into hiding after police filed the case on November 15. Yesterday, he went to his daughter's house in Sherpur and left shortly after getting some winter clothes.",neutral,
13,"Around 8:30am today, locals found Matin in a mustard field in Mandail village, lying in a pool of blood.",negative,
14,"Later, he was taken to Sherpur Upazila Health Complex where doctors declared him dead, added Shahnaz Khatun.",neutral,
15,"Contacted, Babu Kumar Saha, officer-in-charge of Sherpur Police Station, said, ""We still do not know the details. We are looking into the incident.""",neutral,
16,"The body was handed over to his family after an auyopsy, said the OC, adding that legal process in this connection is underway.",neutral,
19,Arsonists torched a bus in Kazla area of Dhaka's Jatrabari this evening.,negative,
20,"Two fire engines doused the blaze after the bus of Moumita Paribahan was set on fire around 7:45pm, said Shahjahan Sikder, deputy assistant director of Fire Service media cell.",negative,
21,Incidents of arson attacks are being reported after BNP and alike minded parties started observing Hartal and blockade since their October 28 rally foiled.,negative,
22,Miscreants set fire to three buses that were parked at a filling station in Mohishbhanga area beside Bonpara-Hatikumrul highway in Borigram upazila of Natore early Monday.,negative,
23,Natore-4 (Boraigram-Gurudaspur) member of parliament (MP) Siddiqur Rahman Patwari owns the filling station.,neutral,
24,Boraigram police station officer-in-charge confirmed the matter to Prothom Alo.,neutral,
25,"Bangladesh has launched a sweeping and violent crackdown on opposition parties to ""eliminate competition"" ahead of general elections, including arresting almost 10,000 activists, Human Rights Watch said Monday.",neutral,
26,As well as the thousands arrested -- many from the key Bangladesh Nationalist Party (BNP) -- a staggering number also face charges.,positive,
27,"According to the BNP, about half of its five million members ""face politically motivated prosecution"", HRW said.",negative,
28,"""The arrests, they are not leaving anyone behind, from senior level to the ground level,"" one activist told HRW.",neutral,
29,"Prisons are now at more than double their capacity, the rights group said.",neutral,
30,"The South Asian nation of around 170 million people holds a general election on 7 January, with prime minister Sheikh Hasina eyeing her fourth consecutive term in power.",positive,
31,"""Bangladesh authorities are carrying out mass arrests of political opposition in a clear attempt to quash the opposition and eliminate competition ahead of the general elections"", HRW said.",neutral,
32,"""A free election is impossible when the government stifles free expression and systematically incapacitates the opposition, critics, and activists through arbitrary arrests, enforced disappearance, harassment, and intimidation,"" Bleckner said.",neutral,
33,"The BNP on Sunday said at least 16,625 members had been arrested since October.",neutral,
34,"They include most of its leadership, most notably the BNP's de facto chief Mirza Fakhrul Islam Alamgir.>",neutral,
35,"Prosecutors and lawyers said in the past two weeks at least 526 BNP officials and activists were convicted and sentenced, mostly in absentia, over what the party said were ""trumped up"" charges.",neutral,
